,Max virus (increase),Max Virus (decrease),Max dead cells (increase),Max dead cells (decrease),Min tissue (increase),Min tissue (decrease),Max inflam. macs (increase),Max inflam. macs (decrease),Max T cells (increase),Max T cells (decrease),Max IL-6 (increase),Max IL-6 (decreased),Max IFN I (increased),Max IFN I (decreased),IFN I exposure (increase),IFN I exposure (decrease)
k_lin_Gamma,0.007283093,-0.007539109,0.009055883,-0.009343602,-0.008416602,0.00870471,0.005260677,-0.005478552,0.006457936,-0.006681212,0.004852354,-0.005056937,0.00109757,-0.001151071,0.001106595,-0.001362237
k_int_Gamma,0.000286143,-0.000286555,0.000355016,-0.000355464,-0.000329128,0.000329581,0.000207291,-0.000207643,0.000253474,-0.000253829,0.000191246,-0.000191571,4.34E-05,-4.35E-05,4.03E-05,-4.36E-05
k_B_Gamma,-0.007373185,0.00784449,-0.009128764,0.009745776,0.008463694,-0.009018597,-0.005358816,0.005665692,-0.006527353,0.006948761,-0.004945145,0.005225769,-0.001125107,0.001181295,-0.001336142,0.001199166
k_U_Gamma,0.007139206,-0.007402149,0.008870127,-0.009166599,-0.008215545,0.008506162,0.005157184,-0.005379213,0.006325188,-0.006554308,0.004756894,-0.00496418,0.001075773,-0.001129592,0.001078482,-0.001338371
R_Gamma_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_Gamma_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_Gamma_MPhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM_Gamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha_U_0,-3.17E-08,-5.27E-09,3.59E-08,-3.92E-09,-5.36E-09,6.46E-09,-4.49E-07,3.24E-07,3.96E-08,-2.64E-08,-3.63E-07,3.19E-07,-4.61E-08,2.75E-08,6.84E-06,-7.95E-06
alpha_B_0,1.93E-10,-1.96E-10,3.10E-09,-3.15E-09,-7.67E-10,7.80E-10,-3.71E-08,3.77E-08,4.27E-09,-4.34E-09,-3.35E-08,3.40E-08,-3.36E-09,3.41E-09,-8.85E-09,9.34E-09
p_alpha_MPhi,-3.64E-06,3.60E-06,0.000103604,-0.000105235,3.07E-06,-3.05E-06,-0.000328441,0.000333437,0.000163975,-0.000166661,-0.000301536,0.000305099,-3.56E-05,3.62E-05,0.000582808,-0.000597625
eta_alpha_MPhi,3.31E-06,-3.69E-06,-9.71E-05,0.000105442,-2.80E-06,3.10E-06,0.000305692,-0.000331684,-0.000153709,0.000166719,0.000279699,-0.000304497,3.32E-05,-3.60E-05,-0.000550294,0.000595488
p_alpha_M,-3.26E-09,3.26E-09,1.20E-07,-1.20E-07,2.54E-09,-2.54E-09,-2.75E-07,2.75E-07,1.89E-07,-1.89E-07,-2.51E-07,2.51E-07,-2.94E-08,2.94E-08,6.24E-07,-6.24E-07
eta_alpha_M,3.10E-09,-3.43E-09,-1.14E-07,1.26E-07,-2.42E-09,2.67E-09,2.62E-07,-2.89E-07,-1.80E-07,1.98E-07,2.39E-07,-2.64E-07,2.80E-08,-3.09E-08,-5.93E-07,6.56E-07
p_alpha_T,-5.92E-06,5.88E-06,0.000186309,-0.000190033,4.35E-06,-4.30E-06,-0.000474803,0.000484089,0.000304874,-0.000313337,-0.000434419,0.000441719,-4.99E-05,5.09E-05,0.001452157,-0.001494979
eta_alpha_T,3.00E-06,-3.18E-06,-8.27E-05,8.68E-05,-2.29E-06,2.43E-06,0.00025226,-0.000263432,-0.000128081,0.000134327,0.000230375,-0.000241005,2.68E-05,-2.80E-05,-0.000469601,0.000492411
p_alpha_K,-3.97E-06,3.95E-06,0.000137892,-0.000140035,3.07E-06,-3.05E-06,-0.000329646,0.000334182,0.000217126,-0.000220923,-0.000301873,0.000305287,-3.51E-05,3.56E-05,0.000888217,-0.000903415
eta_alpha_K,3.24E-06,-3.55E-06,-0.000114494,0.000123058,-2.51E-06,2.74E-06,0.000274161,-0.000295189,-0.000180621,0.000193819,0.000250453,-0.00027024,2.92E-05,-3.14E-05,-0.000736613,0.00079143
k_lin_alpha,1.24E-05,-1.40E-05,-0.000419576,0.000442348,-9.79E-06,1.12E-05,0.001102922,-0.001165861,-0.000677487,0.000707845,0.001008059,-0.001067311,0.000117458,-0.000124445,-0.002770345,0.003044744
k_int_alpha,1.53E-06,-1.54E-06,-4.90E-05,4.93E-05,-1.18E-06,1.20E-06,0.000129647,-0.000130539,-7.88E-05,7.92E-05,0.000118428,-0.000119244,1.38E-05,-1.39E-05,-0.000336819,0.000338451
k_B_alpha,-1.35E-05,1.35E-05,0.000421315,-0.000442332,1.05E-05,-1.03E-05,-0.001117503,0.001167482,0.000674231,-0.000713695,-0.001023298,0.001066337,-0.000119164,0.000124248,0.002906275,-0.003051619
k_U_alpha,1.14E-05,-1.25E-05,-0.000373965,0.000391394,-8.77E-06,9.76E-06,0.000985488,-0.001035366,-0.00060297,0.000626521,0.000900141,-0.000948286,0.000104927,-0.000110431,-0.002577915,0.002700296
R_alpha_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_alpha_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_alpha_MPhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_alpha_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_alpha_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM_alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_L,0.000280406,-0.000287289,-0.004530951,0.004461197,-0.000123445,0.000126445,0.003042038,-0.003024835,-0.007856503,0.007705428,0.002777465,-0.002762774,0.000333627,-0.000333641,-0.006726757,0.006575107
A_G,-3.66E-14,3.49E-14,-9.64E-12,9.15E-12,1.58E-13,-1.50E-13,2.50E-11,-2.37E-11,-1.54E-11,1.46E-11,2.29E-11,-2.17E-11,2.69E-12,-2.56E-12,-4.31E-11,4.06E-11
A_C,2.64E-05,-2.89E-05,3.71E-06,-4.08E-06,1.36E-06,-1.50E-06,1.45E-05,-1.59E-05,2.63E-06,-2.86E-06,1.31E-05,-1.44E-05,1.84E-06,-2.02E-06,9.34E-07,-1.14E-06
A_F,-0.006319118,0.00653826,-0.007368584,0.00764888,0.00768981,-0.007964353,-0.00402628,0.004149079,-0.003837365,0.004005725,-0.00372533,0.003834947,-0.000938699,0.000960957,-0.002777797,0.002671301
A_Gamma,-0.007377951,0.007849375,-0.009134623,0.009751823,0.008469115,-0.009024171,-0.005362306,0.005669226,-0.006531538,0.006953057,-0.004948366,0.005229027,-0.001125841,0.001182026,-0.001336723,0.001199749
A_alpha,-1.36E-05,1.35E-05,0.000422472,-0.000443484,1.06E-05,-1.03E-05,-0.001120726,0.001170655,0.000676104,-0.000715595,-0.001026242,0.001069234,-0.000119509,0.000124586,0.002913215,-0.003058537
M_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPhi_R_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_U_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_B_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G_U_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G_B_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_U_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_B_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_BF_star,0.074927574,-0.06548717,0.002918091,-0.002694917,0.000461821,-0.000378315,0.020730561,-0.019451463,0.007550639,-0.007821761,0.018828971,-0.017707573,0.002408189,-0.002338921,0.006468026,-0.007054182
L_U_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_B_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPhi_I_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_prod_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_M_prod_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M_prod_star,-0.005675458,0.0058941,-0.001082967,0.001277635,1.27E-05,-1.16E-05,0.000463593,-0.000451405,-0.007432369,0.006998826,0.001305371,-0.001298976,6.09E-05,-5.91E-05,-0.007326118,0.004299658
N_prod_star,-0.043609712,0.04733421,-0.001777481,0.00186428,-0.000256376,0.000290182,-0.012802834,0.013272263,-0.005083916,0.00494171,-0.011652353,0.012059405,-0.001530679,0.001551742,-0.004627515,0.004035999
alpha_U_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha_B_star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K_prod_star,-0.000334614,0.000335558,-6.65E-05,6.45E-05,0.000335185,-0.000336838,-0.000217536,0.000218582,-0.00093648,0.000940484,-0.00020272,0.000203235,-4.78E-05,4.81E-05,-0.002977317,0.003002213
